year,item,expenditure_bracket,value,category,bracket_order
2013,Telur dan susu,750 000- 999 999,28216.0,Food,7
2013,Telur dan susu,1 000 000 dan lebih,41766.0,Food,8
2013,Sayur-sayuran,Kurang dari 100 000,6430.0,Food,1
2013,Sayur-sayuran,100 000- 149 999,10302.0,Food,2
2013,Sayur-sayuran,150 000- 199 999,13943.0,Food,3
2013,Sayur-sayuran,200 000- 299 999,19764.0,Food,4
2013,Sayur-sayuran,300 000- 499 999,27790.0,Food,5
2013,Sayur-sayuran,500 000- 749 999,36332.0,Food,6
2013,Sayur-sayuran,750 000- 999 999,45149.0,Food,7
2013,Sayur-sayuran,1 000 000 dan lebih,51450.0,Food,8
2013,Kacang-kacangan,Kurang dari 100 000,1303.0,Food,1
2013,Kacang-kacangan,100 000- 149 999,2569.0,Food,2
2013,Kacang-kacangan,150 000- 199 999,3791.0,Food,3
2013,Kacang-kacangan,200 000- 299 999,5733.0,Food,4
2013,Kacang-kacangan,300 000- 499 999,8112.0,Food,5
2013,Kacang-kacangan,500 000- 749 999,9951.0,Food,6
2013,Kacang-kacangan,750 000- 999 999,11159.0,Food,7
2013,Kacang-kacangan,1 000 000 dan lebih,12576.0,Food,8
2013,Buah-buahan,Kurang dari 100 000,1931.0,Food,1
2013,Buah-buahan,100 000- 149 999,2374.0,Food,2
2013,Buah-buahan,150 000- 199 999,3249.0,Food,3
2013,Buah-buahan,200 000- 299 999,5149.0,Food,4
2013,Buah-buahan,300 000- 499 999,8931.0,Food,5
2013,Buah-buahan,500 000- 749 999,15933.0,Food,6
2013,Buah-buahan,750 000- 999 999,25214.0,Food,7
2013,Buah-buahan,1 000 000 dan lebih,38802.0,Food,8
2013,Minyak dan lemak,Kurang dari 100 000,2505.0,Food,1
2013,Minyak dan lemak,100 000- 149 999,4077.0,Food,2
2013,Minyak dan lemak,150 000- 199 999,5577.0,Food,3
2013,Minyak dan lemak,200 000- 299 999,8035.0,Food,4
2013,Minyak dan lemak,300 000- 499 999,10748.0,Food,5
2013,Minyak dan lemak,500 000- 749 999,13383.0,Food,6
2013,Minyak dan lemak,750 000- 999 999,16264.0,Food,7
2013,Minyak dan lemak,1 000 000 dan lebih,18655.0,Food,8
2013,Bahan minuman,Kurang dari 100 000,1527.0,Food,1
2013,Bahan minuman,100 000- 149 999,4745.0,Food,2
2013,Bahan minuman,150 000- 199 999,6686.0,Food,3
2013,Bahan minuman,200 000- 299 999,8858.0,Food,4
2013,Bahan minuman,300 000- 499 999,12292.0,Food,5
2013,Bahan minuman,500 000- 749 999,16422.0,Food,6
2013,Bahan minuman,750 000- 999 999,19729.0,Food,7
2013,Bahan minuman,1 000 000 dan lebih,22244.0,Food,8
2013,Bumbu-bumbuan,Kurang dari 100 000,1466.0,Food,1
2013,Bumbu-bumbuan,100 000- 149 999,1983.0,Food,2
2013,Bumbu-bumbuan,150 000- 199 999,2693.0,Food,3
2013,Bumbu-bumbuan,200 000- 299 999,4218.0,Food,4
2013,Bumbu-bumbuan,300 000- 499 999,5971.0,Food,5
2013,Bumbu-bumbuan,500 000- 749 999,7818.0,Food,6
2013,Bumbu-bumbuan,750 000- 999 999,9721.0,Food,7
2013,Bumbu-bumbuan,1 000 000 dan lebih,11477.0,Food,8
2013,Konsumsi lainnya,Kurang dari 100 000,132.0,Food,1
2013,Konsumsi lainnya,100 000- 149 999,1483.0,Food,2
2013,Konsumsi lainnya,150 000- 199 999,2220.0,Food,3
2013,Konsumsi lainnya,200 000- 299 999,3622.0,Food,4
2013,Konsumsi lainnya,300 000- 499 999,5391.0,Food,5
2013,Konsumsi lainnya,500 000- 749 999,8127.0,Food,6
2013,Konsumsi lainnya,750 000- 999 999,10209.0,Food,7
2013,Konsumsi lainnya,1 000 000 dan lebih,12335.0,Food,8
2013,Tembakau dan sirih,Kurang dari 100 000,4203.0,Food,1
2013,Tembakau dan sirih,100 000- 149 999,6861.0,Food,2
2013,Tembakau dan sirih,150 000- 199 999,11544.0,Food,3
2013,Tembakau dan sirih,200 000- 299 999,20179.0,Food,4
2013,Tembakau dan sirih,300 000- 499 999,34693.0,Food,5
2013,Tembakau dan sirih,500 000- 749 999,55336.0,Food,6
2013,Tembakau dan sirih,750 000- 999 999,75342.0,Food,7
2013,Tembakau dan sirih,1 000 000 dan lebih,88361.0,Food,8
2013,"Perumahan, bahan bakar, penerangan, air",Kurang dari 100 000,12578.0,Non-Food,1
2013,"Perumahan, bahan bakar, penerangan, air",100 000- 149 999,21021.0,Non-Food,2
2013,"Perumahan, bahan bakar, penerangan, air",150 000- 199 999,28824.0,Non-Food,3
2013,"Perumahan, bahan bakar, penerangan, air",200 000- 299 999,39739.0,Non-Food,4
2013,"Perumahan, bahan bakar, penerangan, air",300 000- 499 999,63217.0,Non-Food,5
2013,"Perumahan, bahan bakar, penerangan, air",500 000- 749 999,103163.0,Non-Food,6
2013,"Perumahan, bahan bakar, penerangan, air",750 000- 999 999,152254.0,Non-Food,7
2013,"Perumahan, bahan bakar, penerangan, air",1 000 000 dan lebih,240924.0,Non-Food,8
2013,Barang dan jasa,Kurang dari 100 000,4619.0,Non-Food,1
2013,Barang dan jasa,100 000- 149 999,8227.0,Non-Food,2
2013,Barang dan jasa,150 000- 199 999,12215.0,Non-Food,3
2013,Barang dan jasa,200 000- 299 999,19115.0,Non-Food,4
2013,Barang dan jasa,300 000- 499 999,34248.0,Non-Food,5
2013,Barang dan jasa,500 000- 749 999,60010.0,Non-Food,6
2013,Barang dan jasa,750 000- 999 999,86698.0,Non-Food,7
2013,Barang dan jasa,1 000 000 dan lebih,169814.0,Non-Food,8
2013,Biaya pendidikan,Kurang dari 100 000,2255.0,Non-Food,1
2013,Biaya pendidikan,100 000- 149 999,5644.0,Non-Food,2
2013,Biaya pendidikan,150 000- 199 999,6904.0,Non-Food,3
2013,Biaya pendidikan,200 000- 299 999,8914.0,Non-Food,4
2013,Biaya pendidikan,300 000- 499 999,12782.0,Non-Food,5
2013,Biaya pendidikan,500 000- 749 999,19363.0,Non-Food,6
2013,Biaya pendidikan,750 000- 999 999,25806.0,Non-Food,7
2013,Biaya pendidikan,1 000 000 dan lebih,38360.0,Non-Food,8
2013,Biaya kesehatan,Kurang dari 100 000,207.0,Non-Food,1
2013,Biaya kesehatan,100 000- 149 999,1557.0,Non-Food,2
2013,Biaya kesehatan,150 000- 199 999,2560.0,Non-Food,3
2013,Biaya kesehatan,200 000- 299 999,3783.0,Non-Food,4
2013,Biaya kesehatan,300 000- 499 999,7107.0,Non-Food,5
2013,Biaya kesehatan,500 000- 749 999,14747.0,Non-Food,6
2013,Biaya kesehatan,750 000- 999 999,26569.0,Non-Food,7
2013,Biaya kesehatan,1 000 000 dan lebih,100731.0,Non-Food,8
2013,"Pakaian, alas kaki, dan tutup kepala",Kurang dari 100 000,498.0,Non-Food,1
2013,"Pakaian, alas kaki, dan tutup kepala",100 000- 149 999,1513.0,Non-Food,2
2013,"Pakaian, alas kaki, dan tutup kepala",150 000- 199 999,2248.0,Non-Food,3
2013,"Pakaian, alas kaki, dan tutup kepala",200 000- 299 999,3110.0,Non-Food,4
2013,"Pakaian, alas kaki, dan tutup kepala",300 000- 499 999,5573.0,Non-Food,5
2013,"Pakaian, alas kaki, dan tutup kepala",500 000- 749 999,11321.0,Non-Food,6
2013,"Pakaian, alas kaki, dan tutup kepala",750 000- 999 999,19516.0,Non-Food,7
2013,"Pakaian, alas kaki, dan tutup kepala",1 000 000 dan lebih,37337.0,Non-Food,8
2013,Barang yang tahan lama,Kurang dari 100 000,230.0,Non-Food,1
2013,Barang yang tahan lama,100 000- 149 999,335.0,Non-Food,2
2013,Barang yang tahan lama,150 000- 199 999,658.0,Non-Food,3
2013,Barang yang tahan lama,200 000- 299 999,1510.0,Non-Food,4
2013,Barang yang tahan lama,300 000- 499 999,3697.0,Non-Food,5
2013,Barang yang tahan lama,500 000- 749 999,12241.0,Non-Food,6
2013,Barang yang tahan lama,750 000- 999 999,32409.0,Non-Food,7
2013,Barang yang tahan lama,1 000 000 dan lebih,232581.0,Non-Food,8
2013,Pajak pemakaian dan premi asuransi,Kurang dari 100 000,513.0,Non-Food,1
2013,Pajak pemakaian dan premi asuransi,100 000- 149 999,595.0,Non-Food,2
2013,Pajak pemakaian dan premi asuransi,150 000- 199 999,1081.0,Non-Food,3
2013,Pajak pemakaian dan premi asuransi,200 000- 299 999,1811.0,Non-Food,4
2013,Pajak pemakaian dan premi asuransi,300 000- 499 999,3527.0,Non-Food,5
2013,Pajak pemakaian dan premi asuransi,500 000- 749 999,6731.0,Non-Food,6
2013,Pajak pemakaian dan premi asuransi,750 000- 999 999,10366.0,Non-Food,7
2013,Pajak pemakaian dan premi asuransi,1 000 000 dan lebih,24047.0,Non-Food,8
2013,Keperluan pesta dan upacara,100 000- 149 999,541.0,Non-Food,2
2013,Keperluan pesta dan upacara,150 000- 199 999,481.0,Non-Food,3
2013,Keperluan pesta dan upacara,200 000- 299 999,629.0,Non-Food,4
2013,Keperluan pesta dan upacara,300 000- 499 999,1747.0,Non-Food,5
2013,Keperluan pesta dan upacara,500 000- 749 999,4419.0,Non-Food,6
2013,Keperluan pesta dan upacara,750 000- 999 999,13054.0,Non-Food,7
2013,Keperluan pesta dan upacara,1 000 000 dan lebih,55613.0,Non-Food,8
2014,Padi-padian,Kurang dari 100 000,25714.0,Food,1
2014,Padi-padian,100 000- 149 999,39146.0,Food,2
2014,Padi-padian,150 000- 199 999,46376.0,Food,3
2014,Padi-padian,200 000- 299 999,53929.0,Food,4
2014,Padi-padian,300 000- 499 999,62374.0,Food,5
2014,Padi-padian,500 000- 749 999,72999.0,Food,6
2014,Padi-padian,750 000- 999 999,77956.0,Food,7
2014,Padi-padian,1 000 000 dan lebih,78774.0,Food,8
2014,Umbi-umbian,Kurang dari 100 000,18214.0,Food,1
2014,Umbi-umbian,100 000- 149 999,3858.0,Food,2
2014,Umbi-umbian,150 000- 199 999,3835.0,Food,3
2014,Umbi-umbian,200 000- 299 999,3172.0,Food,4
2014,Umbi-umbian,300 000- 499 999,3877.0,Food,5
2014,Umbi-umbian,500 000- 749 999,4471.0,Food,6
2014,Umbi-umbian,750 000- 999 999,5985.0,Food,7
2014,Umbi-umbian,1 000 000 dan lebih,8619.0,Food,8
2014,Ikan,Kurang dari 100 000,9643.0,Food,1
2014,Ikan,100 000- 149 999,8037.0,Food,2
2014,Ikan,150 000- 199 999,9762.0,Food,3
2014,Ikan,200 000- 299 999,14333.0,Food,4
2014,Ikan,300 000- 499 999,23773.0,Food,5
2014,Ikan,500 000- 749 999,34154.0,Food,6
2014,Ikan,750 000- 999 999,47907.0,Food,7
2014,Ikan,1 000 000 dan lebih,59406.0,Food,8
2014,Daging,100 000- 149 999,304.0,Food,2
2014,Daging,150 000- 199 999,1206.0,Food,3
2014,Daging,200 000- 299 999,2604.0,Food,4
2014,Daging,300 000- 499 999,5620.0,Food,5
2014,Daging,500 000- 749 999,11622.0,Food,6
2014,Daging,750 000- 999 999,20023.0,Food,7
2014,Daging,1 000 000 dan lebih,33254.0,Food,8
2014,Telur dan susu,100 000- 149 999,2194.0,Food,2
2014,Telur dan susu,150 000- 199 999,2810.0,Food,3
2014,Telur dan susu,200 000- 299 999,5697.0,Food,4
2014,Telur dan susu,300 000- 499 999,10748.0,Food,5
2014,Telur dan susu,500 000- 749 999,18574.0,Food,6
2014,Telur dan susu,750 000- 999 999,28086.0,Food,7
2014,Telur dan susu,1 000 000 dan lebih,41150.0,Food,8
2014,Sayur-sayuran,100 000- 149 999,10635.0,Food,2
2014,Sayur-sayuran,150 000- 199 999,12854.0,Food,3
2014,Sayur-sayuran,200 000- 299 999,18290.0,Food,4
2014,Sayur-sayuran,300 000- 499 999,25912.0,Food,5
2014,Sayur-sayuran,500 000- 749 999,33598.0,Food,6
2014,Sayur-sayuran,750 000- 999 999,41409.0,Food,7
2014,Sayur-sayuran,1 000 000 dan lebih,48399.0,Food,8
2014,Kacang-kacangan,100 000- 149 999,3202.0,Food,2
2014,Kacang-kacangan,150 000- 199 999,4075.0,Food,3
2014,Kacang-kacangan,200 000- 299 999,6018.0,Food,4
2014,Kacang-kacangan,300 000- 499 999,8131.0,Food,5
2014,Kacang-kacangan,500 000- 749 999,10911.0,Food,6
2014,Kacang-kacangan,750 000- 999 999,12676.0,Food,7
2014,Kacang-kacangan,1 000 000 dan lebih,13844.0,Food,8
2014,Buah-buahan,100 000- 149 999,1715.0,Food,2
2014,Buah-buahan,150 000- 199 999,3003.0,Food,3
2014,Buah-buahan,200 000- 299 999,5499.0,Food,4
2014,Buah-buahan,300 000- 499 999,9500.0,Food,5
2014,Buah-buahan,500 000- 749 999,16520.0,Food,6
2014,Buah-buahan,750 000- 999 999,26847.0,Food,7
2014,Buah-buahan,1 000 000 dan lebih,43139.0,Food,8
2014,Minyak dan lemak,Kurang dari 100 000,3214.0,Food,1
2014,Minyak dan lemak,100 000- 149 999,5116.0,Food,2
2014,Minyak dan lemak,150 000- 199 999,5612.0,Food,3
2014,Minyak dan lemak,200 000- 299 999,7910.0,Food,4
2014,Minyak dan lemak,300 000- 499 999,11812.0,Food,5
2014,Minyak dan lemak,500 000- 749 999,14567.0,Food,6
2014,Minyak dan lemak,750 000- 999 999,17329.0,Food,7
2014,Minyak dan lemak,1 000 000 dan lebih,19267.0,Food,8
2014,Bahan minuman,Kurang dari 100 000,17143.0,Food,1
2014,Bahan minuman,100 000- 149 999,4879.0,Food,2
2014,Bahan minuman,150 000- 199 999,6397.0,Food,3
2014,Bahan minuman,200 000- 299 999,8715.0,Food,4
2014,Bahan minuman,300 000- 499 999,11822.0,Food,5
2014,Bahan minuman,500 000- 749 999,15902.0,Food,6
2014,Bahan minuman,750 000- 999 999,19500.0,Food,7
2014,Bahan minuman,1 000 000 dan lebih,21958.0,Food,8
2014,Bumbu-bumbuan,Kurang dari 100 000,3214.0,Food,1
2014,Bumbu-bumbuan,100 000- 149 999,2260.0,Food,2
2014,Bumbu-bumbuan,150 000- 199 999,2804.0,Food,3
2014,Bumbu-bumbuan,200 000- 299 999,4063.0,Food,4
2014,Bumbu-bumbuan,300 000- 499 999,6125.0,Food,5
2014,Bumbu-bumbuan,500 000- 749 999,8242.0,Food,6
2014,Bumbu-bumbuan,750 000- 999 999,10366.0,Food,7
2014,Bumbu-bumbuan,1 000 000 dan lebih,11874.0,Food,8
2014,Konsumsi lainnya,100 000- 149 999,1765.0,Food,2
2014,Konsumsi lainnya,150 000- 199 999,2456.0,Food,3
2014,Konsumsi lainnya,200 000- 299 999,3837.0,Food,4
2014,Konsumsi lainnya,300 000- 499 999,5420.0,Food,5
2014,Konsumsi lainnya,500 000- 749 999,8390.0,Food,6
2014,Konsumsi lainnya,750 000- 999 999,10644.0,Food,7
2014,Konsumsi lainnya,1 000 000 dan lebih,12704.0,Food,8
2014,Tembakau dan sirih,100 000- 149 999,6463.0,Food,2
2014,Tembakau dan sirih,150 000- 199 999,10211.0,Food,3
2014,Tembakau dan sirih,200 000- 299 999,19423.0,Food,4
2014,Tembakau dan sirih,300 000- 499 999,35422.0,Food,5
2014,Tembakau dan sirih,500 000- 749 999,57799.0,Food,6
2014,Tembakau dan sirih,750 000- 999 999,78332.0,Food,7
2014,Tembakau dan sirih,1 000 000 dan lebih,98766.0,Food,8
2014,"Perumahan, bahan bakar, penerangan, air",Kurang dari 100 000,2167.0,Non-Food,1
2014,"Perumahan, bahan bakar, penerangan, air",100 000- 149 999,21547.0,Non-Food,2
2014,"Perumahan, bahan bakar, penerangan, air",150 000- 199 999,29384.0,Non-Food,3
2014,"Perumahan, bahan bakar, penerangan, air",200 000- 299 999,40976.0,Non-Food,4
2014,"Perumahan, bahan bakar, penerangan, air",300 000- 499 999,61320.0,Non-Food,5
2014,"Perumahan, bahan bakar, penerangan, air",500 000- 749 999,103128.0,Non-Food,6
2014,"Perumahan, bahan bakar, penerangan, air",750 000- 999 999,148288.0,Non-Food,7
2014,"Perumahan, bahan bakar, penerangan, air",1 000 000 dan lebih,256279.0,Non-Food,8
2014,Barang dan jasa,Kurang dari 100 000,5167.0,Non-Food,1
2014,Barang dan jasa,100 000- 149 999,9529.0,Non-Food,2
2014,Barang dan jasa,150 000- 199 999,13294.0,Non-Food,3
2014,Barang dan jasa,200 000- 299 999,21337.0,Non-Food,4
2014,Barang dan jasa,300 000- 499 999,35615.0,Non-Food,5
2014,Barang dan jasa,500 000- 749 999,64502.0,Non-Food,6
2014,Barang dan jasa,750 000- 999 999,98155.0,Non-Food,7
2014,Barang dan jasa,1 000 000 dan lebih,182622.0,Non-Food,8
2014,Biaya pendidikan,Kurang dari 100 000,1500.0,Non-Food,1
2014,Biaya pendidikan,100 000- 149 999,5729.0,Non-Food,2
2014,Biaya pendidikan,150 000- 199 999,7739.0,Non-Food,3
2014,Biaya pendidikan,200 000- 299 999,9010.0,Non-Food,4
2014,Biaya pendidikan,300 000- 499 999,11239.0,Non-Food,5
2014,Biaya pendidikan,500 000- 749 999,17918.0,Non-Food,6
2014,Biaya pendidikan,750 000- 999 999,22818.0,Non-Food,7
2014,Biaya pendidikan,1 000 000 dan lebih,35080.0,Non-Food,8
2014,Biaya kesehatan,100 000- 149 999,1834.0,Non-Food,2
2014,Biaya kesehatan,150 000- 199 999,2265.0,Non-Food,3
2014,Biaya kesehatan,200 000- 299 999,3803.0,Non-Food,4
2014,Biaya kesehatan,300 000- 499 999,6711.0,Non-Food,5
2014,Biaya kesehatan,500 000- 749 999,13277.0,Non-Food,6
2014,Biaya kesehatan,750 000- 999 999,24246.0,Non-Food,7
2014,Biaya kesehatan,1 000 000 dan lebih,99962.0,Non-Food,8
2014,"Pakaian, alas kaki, dan tutup kepala",Kurang dari 100 000,5083.0,Non-Food,1
2014,"Pakaian, alas kaki, dan tutup kepala",100 000- 149 999,1313.0,Non-Food,2
2014,"Pakaian, alas kaki, dan tutup kepala",150 000- 199 999,2321.0,Non-Food,3
2014,"Pakaian, alas kaki, dan tutup kepala",200 000- 299 999,3001.0,Non-Food,4
2014,"Pakaian, alas kaki, dan tutup kepala",300 000- 499 999,5245.0,Non-Food,5
2014,"Pakaian, alas kaki, dan tutup kepala",500 000- 749 999,10033.0,Non-Food,6
2014,"Pakaian, alas kaki, dan tutup kepala",750 000- 999 999,17071.0,Non-Food,7
2014,"Pakaian, alas kaki, dan tutup kepala",1 000 000 dan lebih,39580.0,Non-Food,8
2014,Barang yang tahan lama,100 000- 149 999,337.0,Non-Food,2
2014,Barang yang tahan lama,150 000- 199 999,845.0,Non-Food,3
2014,Barang yang tahan lama,200 000- 299 999,1230.0,Non-Food,4
2014,Barang yang tahan lama,300 000- 499 999,2881.0,Non-Food,5
2014,Barang yang tahan lama,500 000- 749 999,9239.0,Non-Food,6
2014,Barang yang tahan lama,750 000- 999 999,21129.0,Non-Food,7
2014,Barang yang tahan lama,1 000 000 dan lebih,179500.0,Non-Food,8
2014,Pajak pemakaian dan premi asuransi,Kurang dari 100 000,83.0,Non-Food,1
2014,Pajak pemakaian dan premi asuransi,100 000- 149 999,706.0,Non-Food,2
2014,Pajak pemakaian dan premi asuransi,150 000- 199 999,1032.0,Non-Food,3
2014,Pajak pemakaian dan premi asuransi,200 000- 299 999,1932.0,Non-Food,4
2014,Pajak pemakaian dan premi asuransi,300 000- 499 999,3183.0,Non-Food,5
2014,Pajak pemakaian dan premi asuransi,500 000- 749 999,6496.0,Non-Food,6
2014,Pajak pemakaian dan premi asuransi,750 000- 999 999,11056.0,Non-Food,7
2014,Pajak pemakaian dan premi asuransi,1 000 000 dan lebih,26813.0,Non-Food,8
2014,Keperluan pesta dan upacara,100 000- 149 999,128.0,Non-Food,2
2014,Keperluan pesta dan upacara,150 000- 199 999,289.0,Non-Food,3
2014,Keperluan pesta dan upacara,200 000- 299 999,642.0,Non-Food,4
2014,Keperluan pesta dan upacara,300 000- 499 999,1650.0,Non-Food,5
2014,Keperluan pesta dan upacara,500 000- 749 999,3168.0,Non-Food,6
2014,Keperluan pesta dan upacara,750 000- 999 999,5594.0,Non-Food,7
2014,Keperluan pesta dan upacara,1 000 000 dan lebih,62418.0,Non-Food,8
2015,Padi-padian,< 150 000,35364.0,Food,3
2015,Padi-padian,150 000- 199 999,46338.0,Food,3
2015,Padi-padian,200 000- 299 999,55830.0,Food,4
2015,Padi-padian,300 000- 499 999,68305.0,Food,5
2015,Padi-padian,500 000- 749 999,76896.0,Food,6
2015,Padi-padian,750 000- 999 999,86921.0,Food,7
2015,Padi-padian,1 000 000- 1 499 999,93386.0,Food,8
2015,Padi-padian,> 1 500 000,107680.0,Food,9
2015,Umbi-umbian,< 150 000,8884.0,Food,3
2015,Umbi-umbian,150 000- 199 999,4678.0,Food,3
2015,Umbi-umbian,200 000- 299 999,3503.0,Food,4
2015,Umbi-umbian,300 000- 499 999,4009.0,Food,5
2015,Umbi-umbian,500 000- 749 999,5017.0,Food,6
2015,Umbi-umbian,750 000- 999 999,5971.0,Food,7
2015,Umbi-umbian,1 000 000- 1 499 999,7545.0,Food,8
2015,Umbi-umbian,> 1 500 000,11177.0,Food,9
2015,Ikan,< 150 000,5867.0,Food,3
2015,Ikan,150 000- 199 999,8353.0,Food,3
2015,Ikan,200 000- 299 999,12523.0,Food,4
2015,Ikan,300 000- 499 999,21100.0,Food,5
2015,Ikan,500 000- 749 999,30075.0,Food,6
2015,Ikan,750 000- 999 999,41912.0,Food,7
2015,Ikan,1 000 000- 1 499 999,53783.0,Food,8
2015,Ikan,> 1 500 000,82815.0,Food,9
2015,Daging,< 150 000,619.0,Food,3
2015,Daging,150 000- 199 999,968.0,Food,3
2015,Daging,200 000- 299 999,2165.0,Food,4
2015,Daging,300 000- 499 999,5186.0,Food,5
2015,Daging,500 000- 749 999,10520.0,Food,6
2015,Daging,750 000- 999 999,18807.0,Food,7
2015,Daging,1 000 000- 1 499 999,29832.0,Food,8
2015,Daging,> 1 500 000,56336.0,Food,9
2015,Telur dan susu,< 150 000,1472.0,Food,3
2015,Telur dan susu,150 000- 199 999,3171.0,Food,3
2015,Telur dan susu,200 000- 299 999,5538.0,Food,4
2015,Telur dan susu,300 000- 499 999,10425.0,Food,5
2015,Telur dan susu,500 000- 749 999,17263.0,Food,6
2015,Telur dan susu,750 000- 999 999,26901.0,Food,7
2015,Telur dan susu,1 000 000- 1 499 999,39533.0,Food,8
2015,Telur dan susu,> 1 500 000,71768.0,Food,9
2015,Sayur-sayuran,< 150 000,8486.0,Food,3
2015,Sayur-sayuran,150 000- 199 999,10381.0,Food,3
2015,Sayur-sayuran,200 000- 299 999,14910.0,Food,4
2015,Sayur-sayuran,300 000- 499 999,21215.0,Food,5
2015,Sayur-sayuran,500 000- 749 999,27201.0,Food,6
2015,Sayur-sayuran,750 000- 999 999,35325.0,Food,7
2015,Sayur-sayuran,1 000 000- 1 499 999,42647.0,Food,8
2015,Sayur-sayuran,> 1 500 000,57018.0,Food,9
2015,Kacang-kacangan,< 150 000,2001.0,Food,3
2015,Kacang-kacangan,150 000- 199 999,3066.0,Food,3
2015,Kacang-kacangan,200 000- 299 999,5182.0,Food,4
2015,Kacang-kacangan,300 000- 499 999,7173.0,Food,5
2015,Kacang-kacangan,500 000- 749 999,9329.0,Food,6
2015,Kacang-kacangan,750 000- 999 999,11889.0,Food,7
2015,Kacang-kacangan,1 000 000- 1 499 999,14608.0,Food,8
2015,Kacang-kacangan,> 1 500 000,18392.0,Food,9
2015,Buah-buahan,< 150 000,1756.0,Food,3
2015,Buah-buahan,150 000- 199 999,2818.0,Food,3
2015,Buah-buahan,200 000- 299 999,4530.0,Food,4
2015,Buah-buahan,300 000- 499 999,8572.0,Food,5
2015,Buah-buahan,500 000- 749 999,13745.0,Food,6
2015,Buah-buahan,750 000- 999 999,22684.0,Food,7
2015,Buah-buahan,1 000 000- 1 499 999,33985.0,Food,8
2015,Buah-buahan,> 1 500 000,63504.0,Food,9
2015,Minyak dan lemak,< 150 000,4880.0,Food,3
2015,Minyak dan lemak,150 000- 199 999,5683.0,Food,3
2015,Minyak dan lemak,200 000- 299 999,8477.0,Food,4
2015,Minyak dan lemak,300 000- 499 999,11646.0,Food,5
2015,Minyak dan lemak,500 000- 749 999,13646.0,Food,6
2015,Minyak dan lemak,750 000- 999 999,17078.0,Food,7
2015,Minyak dan lemak,1 000 000- 1 499 999,20226.0,Food,8
2015,Minyak dan lemak,> 1 500 000,26005.0,Food,9
2015,Bahan minuman,< 150 000,5082.0,Food,3
2015,Bahan minuman,150 000- 199 999,6411.0,Food,3
2015,Bahan minuman,200 000- 299 999,8296.0,Food,4
2015,Bahan minuman,300 000- 499 999,11880.0,Food,5
2015,Bahan minuman,500 000- 749 999,15660.0,Food,6
2015,Bahan minuman,750 000- 999 999,20200.0,Food,7
2015,Bahan minuman,1 000 000- 1 499 999,24633.0,Food,8
2015,Bahan minuman,> 1 500 000,31847.0,Food,9
2015,Bumbu-bumbuan,< 150 000,2143.0,Food,3
2015,Bumbu-bumbuan,150 000- 199 999,2883.0,Food,3
2015,Bumbu-bumbuan,200 000- 299 999,4164.0,Food,4
2015,Bumbu-bumbuan,300 000- 499 999,6346.0,Food,5
2015,Bumbu-bumbuan,500 000- 749 999,8237.0,Food,6
2015,Bumbu-bumbuan,750 000- 999 999,10728.0,Food,7
2015,Bumbu-bumbuan,1 000 000- 1 499 999,13626.0,Food,8
2015,Bumbu-bumbuan,> 1 500 000,21285.0,Food,9
2015,Konsumsi lainnya,< 150 000,1494.0,Food,3
2015,Konsumsi lainnya,150 000- 199 999,2265.0,Food,3
